uid,semester,attendance
24-AI&DSA01-28,Semester 2,93
24-AI&DSA02-28,Semester 2,93
24-AI&DSA03-28,Semester 2,87
24-AI&DSA04-28,Semester 2,79
24-AI&DSA05-28,Semester 2,90
24-AI&DSA06-28,Semester 2,91
24-AI&DSA07-28,Semester 2,89
24-AI&DSA08-28,Semester 2,87
24-AI&DSA09-28,Semester 2,91
24-AI&DSA10-28,Semester 2,94
24-AI&DSA11-28,Semester 2,96
24-AI&DSA12-28,Semester 2,93
24-AI&DSA13-28,Semester 2,81
24-AI&DSA14-28,Semester 2,95
24-AI&DSA15-28,Semester 2,90
24-AI&DSA16-28,Semester 2,94
24-AI&DSA17-28,Semester 2,96
24-AI&DSA18-28,Semester 2,91
24-AI&DSA19-28,Semester 2,94
24-AI&DSA20-28,Semester 2,88
24-AI&DSA21-28,Semester 2,87
24-AI&DSA22-28,Semester 2,95
24-AI&DSA23-28,Semester 2,88
24-AI&DSA24-28,Semester 2,83
24-AI&DSA25-28,Semester 2,89
24-AI&DSA26-28,Semester 2,92
24-AI&DSA27-28,Semester 2,94
24-AI&DSA28-28,Semester 2,92
24-AI&DSA29-28,Semester 2,89
24-AI&DSA30-28,Semester 2,88
24-AI&DSA31-28,Semester 2,91
24-AI&DSA32-28,Semester 2,87
24-AI&DSA33-28,Semester 2,85
24-AI&DSA34-28,Semester 2,90
24-AI&DSA35-28,Semester 2,90
24-AI&DSA36-28,Semester 2,92
24-AI&DSA37-28,Semester 2,92
24-AI&DSA38-28,Semester 2,91
24-AI&DSA39-28,Semester 2,85
24-AI&DSA40-28,Semester 2,90
24-AI&DSA41-28,Semester 2,90
24-AI&DSA42-28,Semester 2,89
24-AI&DSA43-28,Semester 2,91
24-AI&DSA44-28,Semester 2,90
24-AI&DSA45-28,Semester 2,88
24-AI&DSA46-28,Semester 2,92
24-AI&DSA47-28,Semester 2,93
24-AI&DSA48-28,Semester 2,83
24-AI&DSA49-28,Semester 2,91
24-AI&DSA50-28,Semester 2,89
24-AI&DSA51-28,Semester 2,84
24-AI&DSA52-28,Semester 2,94
24-AI&DSA53-28,Semester 2,83
24-AI&DSA54-28,Semester 2,87
24-AI&DSA55-28,Semester 2,95
24-AI&DSA56-28,Semester 2,87
24-AI&DSA57-28,Semester 2,92
24-AI&DSA58-28,Semester 2,88
24-AI&DSA59-28,Semester 2,95
24-AI&DSA60-28,Semester 2,86
24-AI&DSA61-28,Semester 2,95
24-AI&DSA62-28,Semester 2,87
24-AI&DSA63-28,Semester 2,85
25-AI&DSA66-28,Semester 2,0
25-AI&DSA67-28,Semester 2,0
25-AI&DSA68-28,Semester 2,0
25-AI&DSA69-28,Semester 2,0
25-AI&DSA70-28,Semester 2,0
24-AI&DSB01-28,Semester 2,88
24-AI&DSB02-28,Semester 2,80
24-AI&DSB03-28,Semester 2,78
24-AI&DSB04-28,Semester 2,88
24-AI&DSB05-28,Semester 2,84
24-AI&DSB06-28,Semester 2,79
24-AI&DSB07-28,Semester 2,78
24-AI&DSB08-28,Semester 2,79
24-AI&DSB09-28,Semester 2,84
24-AI&DSB10-28,Semester 2,79
24-AI&DSB11-28,Semester 2,96
24-AI&DSB12-28,Semester 2,87
24-AI&DSB13-28,Semester 2,94
24-AI&DSB14-28,Semester 2,79
24-AI&DSB15-28,Semester 2,82
24-AI&DSB16-28,Semester 2,86
24-AI&DSB17-28,Semester 2,84
24-AI&DSB18-28,Semester 2,88
24-AI&DSB19-28,Semester 2,96
24-AI&DSB20-28,Semester 2,80
24-AI&DSB21-28,Semester 2,84
24-AI&DSB22-28,Semester 2,95
24-AI&DSB23-28,Semester 2,80
24-AI&DSB24-28,Semester 2,87
24-AI&DSB25-28,Semester 2,89
24-AI&DSB26-28,Semester 2,95
24-AI&DSB27-28,Semester 2,90
24-AI&DSB28-28,Semester 2,92
24-AI&DSB29-28,Semester 2,92
24-AI&DSB30-28,Semester 2,77
24-AI&DSB31-28,Semester 2,96
24-AI&DSB32-28,Semester 2,86
24-AI&DSB33-28,Semester 2,87
24-AI&DSB34-28,Semester 2,96
24-AI&DSB35-28,Semester 2,90
24-AI&DSB36-28,Semester 2,87
24-AI&DSB37-28,Semester 2,79
24-AI&DSB38-28,Semester 2,92
24-AI&DSB39-28,Semester 2,86
24-AI&DSB40-28,Semester 2,94
24-AI&DSB41-28,Semester 2,85
24-AI&DSB42-28,Semester 2,83
24-AI&DSB43-28,Semester 2,91
24-AI&DSB44-28,Semester 2,94
24-AI&DSB45-28,Semester 2,87
24-AI&DSB46-28,Semester 2,95
24-AI&DSB47-28,Semester 2,94
24-AI&DSB48-28,Semester 2,85
24-AI&DSB49-28,Semester 2,94
24-AI&DSB50-28,Semester 2,96
24-AI&DSB51-28,Semester 2,95
24-AI&DSB52-28,Semester 2,92
24-AI&DSB53-28,Semester 2,88
24-AI&DSB54-28,Semester 2,93
24-AI&DSB55-28,Semester 2,91
24-AI&DSB56-28,Semester 2,83
24-AI&DSB57-28,Semester 2,86
24-AI&DSB58-28,Semester 2,79
24-AI&DSB59-28,Semester 2,81
24-AI&DSB60-28,Semester 2,87
24-AI&DSB61-28,Semester 2,92
24-AI&DSB62-28,Semester 2,90
24-AI&DSB63-28,Semester 2,97
25-AI&DSB64-28,Semester 2,0
25-AI&DSB65-28,Semester 2,0
25-AI&DSB66-28,Semester 2,0
25-AI&DSB67-28,Semester 2,0
25-AI&DSB68-28,Semester 2,0
25-AI&DSB69-28,Semester 2,0
25-AI&DSB70-28,Semester 2,0
24-AI&DSC01-28,Semester 2,83
24-AI&DSC02-28,Semester 2,82
24-AI&DSC03-28,Semester 2,88
24-AI&DSC04-28,Semester 2,88
24-AI&DSC05-28,Semester 2,83
24-AI&DSC06-28,Semester 2,89
24-AI&DSC07-28,Semester 2,90
24-AI&DSC08-28,Semester 2,82
24-AI&DSC09-28,Semester 2,90
24-AI&DSC10-28,Semester 2,90
24-AI&DSC11-28,Semester 2,85
24-AI&DSC12-28,Semester 2,80
24-AI&DSC13-28,Semester 2,88
24-AI&DSC14-28,Semester 2,87
24-AI&DSC15-28,Semester 2,91
24-AI&DSC16-28,Semester 2,93
24-AI&DSC17-28,Semester 2,85
24-AI&DSC18-28,Semester 2,85
24-AI&DSC19-28,Semester 2,89
24-AI&DSC20-28,Semester 2,95
24-AI&DSC21-28,Semester 2,91
24-AI&DSC22-28,Semester 2,87
24-AI&DSC23-28,Semester 2,82
24-AI&DSC24-28,Semester 2,94
24-AI&DSC25-28,Semester 2,93
24-AI&DSC26-28,Semester 2,85
24-AI&DSC27-28,Semester 2,83
24-AI&DSC28-28,Semester 2,81
24-AI&DSC29-28,Semester 2,81
24-AI&DSC30-28,Semester 2,91
24-AI&DSC31-28,Semester 2,91
24-AI&DSC32-28,Semester 2,88
24-AI&DSC33-28,Semester 2,90
24-AI&DSC34-28,Semester 2,92
24-AI&DSC35-28,Semester 2,82
24-AI&DSC36-28,Semester 2,88
24-AI&DSC37-28,Semester 2,82
24-AI&DSC38-28,Semester 2,91
24-AI&DSC39-28,Semester 2,82
24-AI&DSC40-28,Semester 2,81
24-AI&DSC41-28,Semester 2,78
24-AI&DSC42-28,Semester 2,96
24-AI&DSC43-28,Semester 2,96
24-AI&DSC44-28,Semester 2,81
24-AI&DSC45-28,Semester 2,86
24-AI&DSC46-28,Semester 2,87
24-AI&DSC47-28,Semester 2,92
24-AI&DSC48-28,Semester 2,81
24-AI&DSC49-28,Semester 2,86
24-AI&DSC50-28,Semester 2,93
24-AI&DSC51-28,Semester 2,94
24-AI&DSC52-28,Semester 2,85
24-AI&DSC53-28,Semester 2,87
24-AI&DSC54-28,Semester 2,91
24-AI&DSC55-28,Semester 2,84
24-AI&DSC56-28,Semester 2,82
24-AI&DSC57-28,Semester 2,95
24-AI&DSC58-28,Semester 2,93
24-AI&DSC59-28,Semester 2,95
24-AI&DSC60-28,Semester 2,93
24-AI&DSC61-28,Semester 2,96
24-AI&DSC62-28,Semester 2,93
24-AI&DSC63-28,Semester 2,96
25-AI&DSC64-28,Semester 2,0
25-AI&DSC65-28,Semester 2,0
25-AI&DSC66-28,Semester 2,0
25-AI&DSC67-28,Semester 2,0
25-AI&DSC68-28,Semester 2,0
25-AI&DSC69-28,Semester 2,0
24-AI&MLA01-28,Semester 2,92
24-AI&MLA02-28,Semester 2,75
24-AI&MLA03-28,Semester 2,85
24-AI&MLA04-28,Semester 2,80
24-AI&MLA05-28,Semester 2,81
24-AI&MLA06-28,Semester 2,83
24-AI&MLA07-28,Semester 2,86
24-AI&MLA08-28,Semester 2,81
24-AI&MLA09-28,Semester 2,37
24-AI&MLA10-28,Semester 2,82
24-AI&MLA11-28,Semester 2,84
24-AI&MLA12-28,Semester 2,82
24-AI&MLA13-28,Semester 2,90
24-AI&MLA14-28,Semester 2,80
24-AI&MLA15-28,Semester 2,73
24-AI&MLA16-28,Semester 2,85
24-AI&MLA17-28,Semester 2,84
24-AI&MLA18-28,Semester 2,89
24-AI&MLA19-28,Semester 2,89
24-AI&MLA20-28,Semester 2,92
24-AI&MLA21-28,Semester 2,90
24-AI&MLA22-28,Semester 2,86
24-AI&MLA23-28,Semester 2,88
24-AI&MLA24-28,Semester 2,96
24-AI&MLA25-28,Semester 2,81
24-AI&MLA26-28,Semester 2,82
